LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
8EGC3UUTY8,32,63892,66362,444,90,3,7.45,36,0.27,High School,Full-time,Single,No,Yes,Education,No,0
2ZLI6TAHI5,64,41848,177446,693,98,3,16.06,36,0.46,High School,Full-time,Single,No,Yes,Other,No,0
8WPZH835VS,21,103298,111902,689,17,3,23.19,24,0.89,Bachelor's,Part-time,Single,No,Yes,Business,No,1
HAU91YNH13,57,120690,30751,647,46,3,14.86,48,0.14,Master's,Unemployed,Single,Yes,Yes,Home,Yes,0
39PPFQTL97,35,137245,176172,585,71,1,12.02,12,0.4,Master's,Full-time,Divorced,No,No,Auto,Yes,0
JP3N17OZ0U,25,68120,147458,405,119,2,3.41,48,0.37,Master's,Part-time,Single,No,Yes,Business,No,1
F07A4Q62L8,25,139889,195778,510,86,3,12.34,48,0.52,Bachelor's,Part-time,Married,No,Yes,Education,No,0
GW1XE0SG8G,58,22190,79189,320,113,3,10.45,12,0.12,Bachelor's,Part-time,Married,Yes,No,Home,No,0
MWCQBM2296,19,39792,191417,540,99,4,17.33,36,0.17,High School,Part-time,Divorced,Yes,Yes,Education,No,0
7KZMXGL6JI,44,117250,110979,506,84,1,17.23,60,0.43,Bachelor's,Part-time,Divorced,No,No,Home,No,0
38LJ1CBF3N,60,62981,227179,753,33,1,20.17,48,0.22,High School,Part-time,Married,No,Yes,Home,Yes,0
YD1YS9WSOM,68,29688,233461,383,52,1,17.07,24,0.58,Master's,Self-employed,Divorced,Yes,Yes,Other,Yes,0
J6TFPT0O6L,22,19412,101781,698,89,3,10.87,60,0.23,Master's,Part-time,Divorced,Yes,Yes,Other,Yes,0
PVN2APDX89,64,37041,41415,590,9,3,15.08,48,0.69,PhD,Unemployed,Married,Yes,No,Home,No,1
SAG6K1SCJQ,44,69063,23914,564,34,4,10.3,24,0.11,Bachelor's,Full-time,Married,No,No,Auto,No,0
KTUBRVPS1B,23,22455,29777,820,110,4,8.58,36,0.43,Bachelor's,Unemployed,Married,No,No,Business,No,0
INQ66LY3N6,28,134375,242920,685,112,2,16.06,48,0.48,Bachelor's,Self-employed,Divorced,No,Yes,Auto,No,1
PRIS4VVUQH,34,57139,111498,841,30,4,10.49,24,0.14,Master's,Part-time,Single,No,No,Education,Yes,0
DEO5QSZPI6,26,107399,140737,796,78,1,24.83,24,0.89,PhD,Unemployed,Married,Yes,No,Education,Yes,0
2WA5FCW8CN,32,118875,84284,394,92,1,2.22,60,0.29,High School,Full-time,Divorced,No,No,Business,No,0
OLPMTUHH36,34,121308,173603,521,63,3,24.37,60,0.27,PhD,Self-employed,Single,No,Yes,Other,Yes,1
CY5VFM9MI9,39,67396,191454,770,45,3,12.45,24,0.81,Bachelor's,Self-employed,Married,Yes,Yes,Auto,No,0
G2EGBO8IPI,28,43159,51499,344,68,1,10.9,24,0.28,High School,Full-time,Divorced,No,Yes,Auto,No,0
